english,chinese,korean,thai
English,中文,한국어,ภาษาไทย
Alzheimer's: Memories,阿尔茨海默：守护,알츠하이머: 기억들,อัลไซเมอร์  ผู้รักษา
Start,开始,시작,เริ่มเกม
Credits,作者,크레딧,ผู้ประพันธ์
Language,语言,언어,ภาษา
Quit,结束,종료,ออกเกม
Created by Gillian Yue,由吉利安创作,Gillian Yue 제작,ผู้สร้าง Gillian Yue
author,作者 吉利安,작가,ผู้ประพันธ์ Gillian Yue
Thank you for playing!,谢谢你玩这个作品！,플레이 해주셔서 감사합니다!,ขอบคุณที่เล่นเกิมนี้
I am an old man already. ,我已经老了。,난 벌써 노인이다.,ฉันอายุมากแล้ว
I live alone.,我自己一个人住。,난 혼자 산다.,ฉันอยู่คนเดียว
"Some time ago, my doctor told me that I have Alzheimer's disease. Apparently, it makes you forget things.",不久前，医生跟我说我得了“阿尔茨海默症”。很显然，这会让人忘记一些事情。,얼마전에 의사가 나에게 치매가 있다고 했다. 기억을 잃게 한다고 한다.,เมื่อไม่นานมานี้ คุณหมอบอกให้ฉันว่า ฉันเป็นโรคอัลไซเมอร์ ซึ่งมักจะทำให้ฉันลืมสี่งต่างๆ
"I don’t have trouble living daily, though. ",我日常生活倒是没有什么困难。,하지만 난 매일을 사는데 문제는 없다.,ฉันไม่มีปัญหาในการชีวิดประจำวัน
I live a very simple life. ,毕竟，我的生活很简单。,난 매우 단순한 삶을 산다.,ฉันมีชีวิตที่เรียบง่าย
"Sometimes I can’t sleep, so I take two sleeping pills before I go to bed. And then, I would dream. And dream some more.",睡不着的时候，我就在睡觉前吃两片安眠药。然后，我就会做梦。然后做更多的梦。,때때로 나는 잠이 오지 않아서 수면제 두 알을 먹고 잠에 든다. 그리고 나는 꿈을 꾼다. 또 꿈을 꾼다.,เมื่อฉันนอนไม่หลับ ฉันจะกินยานอนหลับสองเม็ดก่อนนอน แล้วฉันก็จะฝันแล้วฝันอีก
I don’t want to forget things. ,我不想忘记。,잊어버리고 싶지 않다.,ฉันไม่อยากลืม
...time for bed.,...该睡了。,...잠에 들 시간이다.,ต้องนอนแล้ว
...sir? Are you lost?,...老先生？你迷路了吗？,"...할아버지, 길을 잃으셨나요?",คุณตา หลงทางหรือเปล่าคะ
Would you want me to walk you home?,我把你送回家吧？,제가 집에 바래다 드릴까요?,หนูจะส่งคุณตาไปส่งบ้านนะ
Where do you live? ,你住在哪里呀？,어디 사세요?,คุณตาพักอยู่ที่ไหนคะ
...You don't remember?,...你不记得了？,...기억이 안 나신다고요?,คุณตาจำไม่ได้แล้วหรอคะ
"Hey, wait, where are you going?",等等，要去哪儿啊？,"저기, 잠깐만요, 어디 가세요?",เดี๋ยวก่อน จะไปไหนคะ
Here we are. ,我们到啦。,도착했네.,เรามาถึงแล้วค่ะ
"Alright sir, take care. Don't go wander off like that again!",老先生，保重身体。别再在外面乱走了！,"알겠습니다, 어르신. 몸 조심하세요. 또 밖에 돌아다니지 마시고요!",คุณตา ดูแลตัวเองด้วยนะคะ อย่าเดินออกมาคนเดียวอีกนะ
"Ok, bye.",好，再见。,"그래, 잘 가게.",ลาก่อน สวัสดีค่ะ
Right click to release,右键以释放,해제하기 위해서 오른쪽 마우스를 눌러주세요,กดปุ่มขวาให้ปล่อย
Double click to release ,双击以释放,해제하기 위해서 더블 클릭을 해주세요,
Privacy,隐私,개인 정보 보호,
User Agreement,用户协议,사용자 동의서,
